system,site_number,adsorption_energy (eV)-N2,NN_distance (ang)-N2,min mol_M distance-N2,max mol_M distance-N2,adsorbed (<2.0)-N2,dissociated (<1.35)-N2,mol_orient_vert(max_NM_dist > 2.1)-N2,ads_config
0_CuNi,ad_site_1,-0.4189,1.166,1.8972,1.8977,1,0,0.0,br
0_CuNi,ad_site_2,-0.8349,1.126,1.7896,2.9151,1,0,1.0,top
0_CuNi,ad_site_3,-0.4618,1.166,1.854,1.9537,1,0,0.0,br
0_CuNi,ad_site_4,-0.1498,1.116,3.3957,4.1974,0,0,,top
0_CuNi,ad_site_5,-0.4183,1.168,1.8918,2.6071,1,0,0.0,br
0_CuNi,ad_site_6,-0.7675,1.126,1.7906,2.9158,1,0,1.0,top
0_CuNi,ad_site_7,-0.4666,1.168,1.8883,1.9008,1,0,0.0,br
0_CuNi,ad_site_8,-0.8022,1.126,4.7576,5.2737,1,0,,top
0_CuNi,ad_site_9,-0.7819,1.125,1.7877,2.9126,1,0,1.0,top
0_CuNi,ad_site_10,-0.7818,1.125,1.7897,2.915,1,0,1.0,top
0_CuNi,ad_site_11,-0.0416,1.225,1.8877,1.9918,1,0,0.0,br
0_CuNi,ad_site_12,-0.4188,1.167,1.8873,2.6294,1,0,0.0,br
0_CuNi,ad_site_13,-0.4671,1.167,1.9019,2.5647,1,0,0.0,br
0_CuNi,ad_site_14,-0.4078,1.207,1.8608,1.893,1,0,0.0,hollow
0_CuNi,ad_site_15,-0.4185,1.167,1.8876,2.619,1,0,0.0,br
0_CuNi,ad_site_16,-0.4675,1.167,1.8978,2.5853,1,0,0.0,br
0_CuNi,ad_site_17,-0.8841,1.126,1.7858,2.911,1,0,1.0,top
0_CuNi,ad_site_18,-0.4675,1.167,1.8978,2.5853,1,0,0.0,br
0_CuNi,ad_site_19,-0.4185,1.167,1.8876,2.619,1,0,0.0,br
1_Ag_subCu,ad_site_1,-0.8152,1.126,1.7889,2.9142,1,0,1.0,top
1_Ag_subCu,ad_site_2,-0.8222,1.126,1.7913,2.9169,1,0,1.0,top
1_Ag_subCu,ad_site_3,-0.3963,1.168,1.8608,1.951,1,0,0.0,br
1_Ag_subCu,ad_site_4,-0.1216,1.109,3.4648,4.3004,0,0,,
1_Ag_subCu,ad_site_5,-0.3964,1.168,1.8606,1.9511,1,0,0.0,br
1_Ag_subCu,ad_site_6,-0.7546,1.126,1.7917,2.9165,1,0,1.0,top
1_Ag_subCu,ad_site_7,-0.3945,1.168,1.8679,1.9355,1,0,0.0,br
1_Ag_subCu,ad_site_8,-0.3881,1.169,2.9703,2.9924,1,0,,br
1_Ag_subCu,ad_site_9,-0.8702,1.126,1.7881,2.9134,1,0,1.0,top
1_Ag_subCu,ad_site_10,-0.7743,1.126,1.7902,2.9157,1,0,1.0,top
1_Ag_subCu,ad_site_11,-0.3963,1.168,1.8597,1.9474,1,0,0.0,br
1_Ag_subCu,ad_site_12,-0.396,1.167,3.7029,4.4067,1,0,,br
1_Ag_subCu,ad_site_13,-0.8012,5.121,1.7444,3.8835,1,1,,
1_Ag_subCu,ad_site_14,-0.3927,1.169,1.8733,1.9258,1,0,0.0,br
1_Ag_subCu,ad_site_15,-0.3605,1.172,1.8962,2.6078,1,0,0.0,br
1_Ag_subCu,ad_site_16,-0.3886,1.169,1.9013,2.5926,1,0,0.0,br
1_Ag_subCu,ad_site_17,-0.1311,1.109,3.2417,3.5865,0,0,,
1_Ag_subCu,ad_site_18,-0.3886,1.169,1.9012,2.5927,1,0,0.0,br
1_Ag_subCu,ad_site_19,-0.3605,1.172,1.8961,2.6078,1,0,0.0,br
2_Au_subCu,ad_site_1,-0.8229,1.126,1.7903,2.9157,1,0,1.0,top
2_Au_subCu,ad_site_2,-0.7961,1.125,1.7974,2.922,1,0,1.0,top
2_Au_subCu,ad_site_3,-0.3519,1.164,1.8791,1.9663,1,0,0.0,br
2_Au_subCu,ad_site_4,-0.1263,1.109,3.5863,4.4029,0,0,,
2_Au_subCu,ad_site_5,-0.7548,1.125,1.7953,2.9199,1,0,1.0,top
2_Au_subCu,ad_site_6,-0.7302,1.125,1.7986,2.9229,1,0,1.0,top
2_Au_subCu,ad_site_7,-0.7651,1.125,1.7974,2.9222,1,0,1.0,top
2_Au_subCu,ad_site_8,-0.7651,1.125,3.2274,3.979,1,0,,top
2_Au_subCu,ad_site_9,-0.8536,1.125,1.7915,2.9158,1,0,1.0,top
2_Au_subCu,ad_site_10,-0.7557,1.125,1.7948,2.9193,1,0,1.0,top
2_Au_subCu,ad_site_11,-0.3513,1.165,1.8852,1.9522,1,0,0.0,br
2_Au_subCu,ad_site_12,-0.7555,1.125,3.1681,3.9753,1,0,,top
2_Au_subCu,ad_site_13,-0.5988,5.195,1.7419,3.9499,1,1,,
2_Au_subCu,ad_site_14,-0.3342,1.194,1.8495,1.9547,1,0,0.0,hollow
2_Au_subCu,ad_site_15,-0.3889,1.204,1.8746,2.0494,1,0,0.0,hollow
2_Au_subCu,ad_site_16,-0.765,1.125,1.7966,2.9212,1,0,1.0,top
2_Au_subCu,ad_site_17,-0.8538,1.125,1.792,2.9167,1,0,1.0,top
2_Au_subCu,ad_site_18,-0.7655,1.125,1.7969,2.9216,1,0,1.0,top
2_Au_subCu,ad_site_19,-0.389,1.205,1.879,2.0545,1,0,0.0,hollow
6_Pd_subNi,ad_site_1,-0.393,1.166,1.9002,1.9017,1,0,0.0,br
6_Pd_subNi,ad_site_2,-0.8169,1.125,1.7914,2.9166,1,0,1.0,top
6_Pd_subNi,ad_site_3,-0.8747,1.126,1.7867,2.912,1,0,1.0,top
6_Pd_subNi,ad_site_4,-0.8751,1.126,1.7882,2.9139,1,0,1.0,top
6_Pd_subNi,ad_site_5,-0.8748,1.126,1.7862,2.9117,1,0,1.0,top
6_Pd_subNi,ad_site_6,-0.761,1.126,1.7913,2.9166,1,0,1.0,top
6_Pd_subNi,ad_site_7,-0.4224,1.167,1.8877,1.9114,1,0,0.0,br
6_Pd_subNi,ad_site_8,-0.7885,1.126,3.0939,3.8537,1,0,,top
6_Pd_subNi,ad_site_9,-0.8754,1.126,1.788,2.913,1,0,1.0,top
6_Pd_subNi,ad_site_10,-0.8754,1.126,1.7867,2.9121,1,0,1.0,top
6_Pd_subNi,ad_site_11,-0.761,1.125,1.792,2.9172,1,0,1.0,top
6_Pd_subNi,ad_site_12,-0.762,1.126,1.7901,2.9156,1,0,1.0,top
6_Pd_subNi,ad_site_13,-0.7602,1.126,1.7906,2.916,1,0,1.0,top
6_Pd_subNi,ad_site_14,-0.435,1.166,1.8914,1.907,1,0,0.0,br
6_Pd_subNi,ad_site_15,-0.761,1.125,1.792,2.9172,1,0,1.0,top
6_Pd_subNi,ad_site_16,-0.7614,1.126,1.7919,2.9173,1,0,1.0,top
6_Pd_subNi,ad_site_17,-0.1385,1.11,3.0209,3.3896,0,0,,
6_Pd_subNi,ad_site_18,-0.4331,1.167,1.9014,2.5911,1,0,0.0,br
6_Pd_subNi,ad_site_19,-0.7595,1.125,1.792,2.9173,1,0,1.0,top
7_Pt_subNi,ad_site_1,-0.8437,1.125,1.7915,2.9155,1,0,1.0,top
7_Pt_subNi,ad_site_2,-0.8275,1.125,1.7916,2.9168,1,0,1.0,top
7_Pt_subNi,ad_site_3,-0.8457,1.125,1.7915,2.9156,1,0,1.0,top
7_Pt_subNi,ad_site_4,-0.8459,1.125,1.7913,2.9152,1,0,1.0,top
7_Pt_subNi,ad_site_5,-0.8455,1.125,1.7912,2.9144,1,0,1.0,top
7_Pt_subNi,ad_site_6,-0.7301,1.125,1.795,2.9196,1,0,1.0,top
7_Pt_subNi,ad_site_7,-0.4445,1.167,1.8888,1.9045,1,0,0.0,br
7_Pt_subNi,ad_site_8,-0.7975,1.126,3.089,3.8478,1,0,,top
7_Pt_subNi,ad_site_9,-0.8448,1.125,1.7912,2.9153,1,0,1.0,top
7_Pt_subNi,ad_site_10,-0.8464,1.125,1.7912,2.9155,1,0,1.0,top
7_Pt_subNi,ad_site_11,-0.8447,1.125,1.7906,2.9148,1,0,1.0,top
7_Pt_subNi,ad_site_12,-0.7278,1.125,1.7958,2.9204,1,0,1.0,top
7_Pt_subNi,ad_site_13,-0.4413,1.167,1.8924,2.6028,1,0,0.0,br
7_Pt_subNi,ad_site_14,-0.4387,1.164,1.8593,1.955,1,0,0.0,br
7_Pt_subNi,ad_site_15,-0.4378,1.165,1.8578,1.9536,1,0,0.0,br
7_Pt_subNi,ad_site_16,-0.4422,1.167,1.9031,2.5828,1,0,0.0,br
7_Pt_subNi,ad_site_17,-0.1427,1.11,3.0606,3.4998,0,0,,
7_Pt_subNi,ad_site_18,-0.4421,1.167,1.9035,2.5848,1,0,0.0,br
7_Pt_subNi,ad_site_19,-0.7282,1.125,1.796,2.9205,1,0,1.0,top
9_Fe_subNi,ad_site_1,-0.4062,1.166,1.8931,1.9058,1,0,0.0,br
9_Fe_subNi,ad_site_2,-0.8269,1.126,1.7905,2.9159,1,0,1.0,top
9_Fe_subNi,ad_site_3,-0.219,1.156,1.9725,2.1873,1,0,0.0,br
9_Fe_subNi,ad_site_4,-0.7357,1.125,1.7935,2.9186,1,0,1.0,top
9_Fe_subNi,ad_site_5,0.748,1.256,1.8939,1.9084,1,0,0.0,br
9_Fe_subNi,ad_site_6,-0.7412,1.125,1.7932,2.9184,1,0,1.0,top
9_Fe_subNi,ad_site_7,-0.4735,1.167,1.8885,1.9017,1,0,0.0,br
9_Fe_subNi,ad_site_8,-0.7958,1.126,3.1033,3.8585,1,0,,top
9_Fe_subNi,ad_site_9,-0.8739,1.126,1.7888,2.9138,1,0,1.0,top
9_Fe_subNi,ad_site_10,-0.5229,1.125,1.911,3.0354,1,0,1.0,top
9_Fe_subNi,ad_site_11,0.0942,1.228,1.8997,2.0892,1,0,0.0,br
9_Fe_subNi,ad_site_12,-0.7411,1.126,1.7926,2.918,1,0,1.0,top
9_Fe_subNi,ad_site_13,-0.4506,1.167,1.8893,2.5965,1,0,0.0,br
9_Fe_subNi,ad_site_14,-0.3842,1.204,1.8687,1.8808,1,0,0.0,hollow
9_Fe_subNi,ad_site_15,-0.7388,1.126,1.7915,2.9166,1,0,1.0,top
9_Fe_subNi,ad_site_16,-0.4506,1.167,1.8936,2.6017,1,0,0.0,br
9_Fe_subNi,ad_site_17,-0.8771,1.126,1.7876,2.9129,1,0,1.0,top
9_Fe_subNi,ad_site_18,-0.4504,1.167,1.8935,2.6048,1,0,0.0,br
9_Fe_subNi,ad_site_19,-0.7384,1.125,1.7916,2.9165,1,0,1.0,top
11_Pd_subCu,ad_site_1,-0.8093,1.125,1.792,2.9168,1,0,1.0,top
11_Pd_subCu,ad_site_2,-0.797,1.126,1.7923,2.9173,1,0,1.0,top
11_Pd_subCu,ad_site_3,-0.4025,1.167,1.8644,1.9372,1,0,0.0,br
11_Pd_subCu,ad_site_4,-0.2865,1.117,2.0597,3.1762,0,0,,top
11_Pd_subCu,ad_site_5,-0.3645,1.168,1.8963,2.6125,1,0,0.0,br
11_Pd_subCu,ad_site_6,-0.7264,1.125,1.7928,2.9175,1,0,1.0,top
11_Pd_subCu,ad_site_7,-0.4066,1.167,1.8732,1.9242,1,0,0.0,br
11_Pd_subCu,ad_site_8,-0.4094,1.168,2.9697,2.9858,1,0,,br
11_Pd_subCu,ad_site_9,-0.3599,1.198,1.8324,1.9407,1,0,0.0,hollow
11_Pd_subCu,ad_site_10,-0.7534,1.125,1.7918,2.9168,1,0,1.0,top
11_Pd_subCu,ad_site_11,-0.4011,1.167,1.8651,1.9323,1,0,0.0,br
11_Pd_subCu,ad_site_12,-0.3172,1.215,1.88,2.5295,1,0,0.0,hollow
11_Pd_subCu,ad_site_13,-0.1292,4.077,1.7415,3.2412,1,1,,
11_Pd_subCu,ad_site_14,-0.3591,1.198,1.8378,1.9326,1,0,0.0,hollow
11_Pd_subCu,ad_site_15,-0.4098,1.168,1.8976,2.6003,1,0,0.0,br
11_Pd_subCu,ad_site_16,-0.4099,1.167,1.8998,2.6044,1,0,0.0,br
11_Pd_subCu,ad_site_17,-0.8479,1.126,1.7877,2.9128,1,0,1.0,top
11_Pd_subCu,ad_site_18,-0.4063,1.168,1.8942,2.606,1,0,0.0,br
11_Pd_subCu,ad_site_19,-0.365,1.168,1.9,2.6241,1,0,0.0,br
13_Ag_subNi,ad_site_1,-0.3935,1.167,1.8967,1.9069,1,0,0.0,br
13_Ag_subNi,ad_site_2,-0.8127,1.125,1.7909,2.9161,1,0,1.0,top
13_Ag_subNi,ad_site_3,-0.8831,1.126,1.7881,2.9141,1,0,1.0,top
13_Ag_subNi,ad_site_4,-0.8838,1.126,1.7895,2.9151,1,0,1.0,top
13_Ag_subNi,ad_site_5,-0.8841,1.126,1.7884,2.914,1,0,1.0,top
