steps,0_CuNi,1_Ag_subCu,2_Au_subCu,6_Pd_subNi,7_Pt_subNi,9_Fe_subNi,11_Pd_subCu,13_Ag_subNi,14_Au_subNi
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2 + 3H2 + *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2N* - * + 3H2,0.6207021761219949,-0.7124110251897946,-0.6955288023455068,0.639318905712571,0.39601511391811073,-0.1261410666629672,-0.05521343386499211,-0.061191697139292955,0.06908287620171905
2N* - * + 3H2,0.6207021761219949,-0.7124110251897946,-0.6955288023455068,0.639318905712571,0.39601511391811073,-0.1261410666629672,-0.05521343386499211,-0.061191697139292955,0.06908287620171905
2N* - * + 3H2,0.6207021761219949,-0.7124110251897946,-0.6955288023455068,0.639318905712571,0.39601511391811073,-0.1261410666629672,-0.05521343386499211,-0.061191697139292955,0.06908287620171905
2N* - * + 3H2,0.6207021761219949,-0.7124110251897946,-0.6955288023455068,0.639318905712571,0.39601511391811073,-0.1261410666629672,-0.05521343386499211,-0.061191697139292955,0.06908287620171905
2N* - * + 3H2,0.6207021761219949,-0.7124110251897946,-0.6955288023455068,0.639318905712571,0.39601511391811073,-0.1261410666629672,-0.05521343386499211,-0.061191697139292955,0.06908287620171905
2NH* - * + 2H2,-1.0104957451694645,-1.4600332523114048,-1.3686422447790392,-0.5608869537827559,-0.4576559470151551,-0.5513648467604071,-0.9562160653877072,-1.0357649102807045,-0.8991502611897886
2NH* - * + 2H2,-1.0104957451694645,-1.4600332523114048,-1.3686422447790392,-0.5608869537827559,-0.4576559470151551,-0.5513648467604071,-0.9562160653877072,-1.0357649102807045,-0.8991502611897886
2NH* - * + 2H2,-1.0104957451694645,-1.4600332523114048,-1.3686422447790392,-0.5608869537827559,-0.4576559470151551,-0.5513648467604071,-0.9562160653877072,-1.0357649102807045,-0.8991502611897886
2NH* - * + 2H2,-1.0104957451694645,-1.4600332523114048,-1.3686422447790392,-0.5608869537827559,-0.4576559470151551,-0.5513648467604071,-0.9562160653877072,-1.0357649102807045,-0.8991502611897886
2NH* - * + 2H2,-1.0104957451694645,-1.4600332523114048,-1.3686422447790392,-0.5608869537827559,-0.4576559470151551,-0.5513648467604071,-0.9562160653877072,-1.0357649102807045,-0.8991502611897886
2NH2* - * + H2,-1.631151134672109,-1.0487706837593578,-1.4578340868465602,-1.2341182243544608,-1.3790897158905864,-1.3243898279615678,-1.2050634666229598,-1.6590490483795293,-1.4281580410315655
2NH2* - * + H2,-1.631151134672109,-1.0487706837593578,-1.4578340868465602,-1.2341182243544608,-1.3790897158905864,-1.3243898279615678,-1.2050634666229598,-1.6590490483795293,-1.4281580410315655
2NH2* - * + H2,-1.631151134672109,-1.0487706837593578,-1.4578340868465602,-1.2341182243544608,-1.3790897158905864,-1.3243898279615678,-1.2050634666229598,-1.6590490483795293,-1.4281580410315655
2NH2* - * + H2,-1.631151134672109,-1.0487706837593578,-1.4578340868465602,-1.2341182243544608,-1.3790897158905864,-1.3243898279615678,-1.2050634666229598,-1.6590490483795293,-1.4281580410315655
2NH2* - * + H2,-1.631151134672109,-1.0487706837593578,-1.4578340868465602,-1.2341182243544608,-1.3790897158905864,-1.3243898279615678,-1.2050634666229598,-1.6590490483795293,-1.4281580410315655
2NH3* - *,-2.1635260962648317,-2.140334493597038,-2.177079663204495,-2.258252376166638,-2.275058148545213,-2.2418347459752113,-2.156707293004729,-2.1559623602661304,-2.2860294276615605
2NH3* - *,-2.1635260962648317,-2.140334493597038,-2.177079663204495,-2.258252376166638,-2.275058148545213,-2.2418347459752113,-2.156707293004729,-2.1559623602661304,-2.2860294276615605
2NH3* - *,-2.1635260962648317,-2.140334493597038,-2.177079663204495,-2.258252376166638,-2.275058148545213,-2.2418347459752113,-2.156707293004729,-2.1559623602661304,-2.2860294276615605
2NH3* - *,-2.1635260962648317,-2.140334493597038,-2.177079663204495,-2.258252376166638,-2.275058148545213,-2.2418347459752113,-2.156707293004729,-2.1559623602661304,-2.2860294276615605
2NH3* - *,-2.1635260962648317,-2.140334493597038,-2.177079663204495,-2.258252376166638,-2.275058148545213,-2.2418347459752113,-2.156707293004729,-2.1559623602661304,-2.2860294276615605
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
2NH3 + * ,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235,-1.0468698791228235
