system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3
0_CuNi,ad_site_1,-325257.71160517656,-0.16828886129758303,-7.8965907559585276,-0.8964435185761204,-0.025920101477368007,-0.01952170622075755,-1.2326178089858786,0.27671993959256724,-0.10875207489004879,-2.3882146231200636,-6.123861120192032,-0.5585233823893532,-626.5726263120305
0_CuNi,ad_site_2,-325257.71160517656,-0.8430408556722568,-8.440879310769446,-1.8246570417530847,-0.6760168458927183,-1.0559688235587146,-1.9138636507702813,-0.13639147883486658,-0.20403023198593928,-2.869813276310367,-6.584095963735763,-0.8813407681099079,-626.6762413466349
0_CuNi,ad_site_3,-325257.71160517656,-0.13158105157879163,-7.349589917747721,-0.8279832461838623,-0.009690540180145035,0.019033871001965963,-1.1841445607276455,0.35817771654137687,-0.12214262778286411,-2.293472420454407,-5.895176268175874,-0.5218686811657562,-626.606223309529
0_CuNi,ad_site_4,-325257.71160517656,-0.13162446873127465,-5.904804322807536,-1.7374402084377607,-0.4161296193265116,-0.9607338713319677,-1.8025848360991858,-0.14802889462998792,-0.22284370288832633,-2.765871353826867,-5.905075228708029,-0.812918829827936,-626.7136499222252
1_Ag_subCu,ad_site_1,-323786.3164802258,0.5792339904456867,-6.870989599786185,0.25459304166827224,0.6868921395730467,1.8091765643259805,-0.5948018709457301,1.1614967575183073,0.38761198898430393,-1.7129987327218146,-5.394779689952429,-0.09697108900024887,-626.0617504845723
2_Au_subCu,ad_site_1,-321329.6146741825,0.6840101480357816,-6.827303326569449,0.3444227987794193,0.8359279487272033,1.9693728767381344,-0.43263682677911675,1.2810704052567417,0.4927183243504487,-1.746759402770465,-5.2997933996889515,-0.02671075749992724,-626.0768297312316
6_Pd_subNi,ad_site_1,-323291.3182206133,-0.24875765056447108,-7.077654074350789,-0.7501647039888439,0.1409596633388901,0.6755438830516596,-1.120101675347314,0.5979450401969189,0.1517266704992153,-2.2797220008516774,-5.397233182091895,-0.5689858409258477,-626.3795580487931
7_Pt_subNi,ad_site_1,-323455.222624848,-0.3240647158362435,-7.243845012268935,-0.9721518475552102,0.16215081253221797,0.43611178208834644,-1.1581728636663229,0.5961297795179235,0.26209026073922814,-2.480096502609001,-5.472683052933007,-0.6111555801852546,-626.3406287718099
9_Fe_subNi,ad_site_1,-325066.99482174136,-0.5057312346306162,-6.590573673482936,-1.9650550998038625,-0.4106929419572225,-1.2884260243806693,-2.3702847910024047,-0.5177920558603546,-0.24725527334373965,-3.066466498451689,-4.371810389792245,-0.7938290869732327,-626.555695463845
11_Pd_subCu,ad_site_1,-322467.9781963675,-0.15812805080884118,-7.400969770384904,-0.6412512014493359,0.13076930262513997,0.8782526053767015,-1.0378218947587357,0.7311807413821043,0.14211364340155797,-2.1847694117761307,-5.764557795650489,-0.48618569665438827,-626.4274559268961
13_Ag_subNi,ad_site_1,-324609.7110412068,0.575895339820022,-6.511015262277283,0.23552192509043834,0.7831403371169472,1.8345998168153983,-0.6233948769074686,1.104373367259086,0.45865922548694016,-1.7654263170272202,-4.989807898928575,-0.10843882666983973,-625.9863710082718
14_Au_subNi,ad_site_1,-322152.9672299565,0.61439345473093,-6.514429108993568,0.24056508200112603,0.847089628827689,-0.9466207004222724,-0.514447098903247,1.189024830109247,0.550736412167339,-1.8684090455364526,-4.956433203646611,-0.09520431902808468,-626.0241069208132
